CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
0.1712,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,18.66,19.5
25.0461,0.0,18.1,0,0.693,5.987,100.0,1.5888,24,666,20.2,26.77,5.6
0.14103,0.0,13.92,0,0.43700000000000006,5.79,58.0,6.32,4,289,16.0,15.84,20.3
0.7842,0.0,8.14,0,0.5379999999999999,5.99,81.7,4.2579,4,307,21.0,14.67,17.5
0.13158,0.0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,12.04,21.2
14.2362,0.0,18.1,0,0.693,6.343,100.0,1.5741,24,666,20.2,20.32,7.2
0.045439999999999994,0.0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,9.09,19.8
0.04666,80.0,1.52,0,0.40399999999999997,7.107,36.6,7.309,2,329,12.6,8.61,30.3
9.329089999999999,0.0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,18.13,14.1
0.16902,0.0,25.65,0,0.581,5.986000000000001,88.4,1.9929,2,188,19.1,14.81,21.4
0.08308,0.0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,13.98,26.4
0.19133,22.0,5.86,0,0.431,5.605,70.2,7.9549,7,330,19.1,18.46,18.5
2.37934,0.0,19.58,0,0.871,6.13,100.0,1.4191,5,403,14.7,27.8,13.8
0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311,15.2,29.93,16.5
5.669980000000001,0.0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,3.73,50.0
0.55778,0.0,21.89,0,0.624,6.335,98.2,2.1107,4,437,21.2,16.96,18.1
0.22926999999999997,0.0,6.91,0,0.44799999999999995,6.03,85.5,5.6894,3,233,17.9,18.8,16.6
3.69311,0.0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,14.65,17.7
5.29305,0.0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,18.76,23.2
0.28392,0.0,7.38,0,0.493,5.707999999999999,74.3,4.7211,5,287,19.6,11.74,18.5
0.07165,0.0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,14.27,20.3
8.98296,0.0,18.1,1,0.77,6.212000000000001,97.4,2.1222,24,666,20.2,17.6,17.8
0.051879999999999996,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,12.86,22.5
0.15875999999999998,0.0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,9.88,21.7
0.04011,80.0,1.52,0,0.40399999999999997,7.287000000000001,34.1,7.309,2,329,12.6,4.08,33.3
0.05735,0.0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6
41.5292,0.0,18.1,0,0.693,5.531000000000001,85.4,1.6074,24,666,20.2,27.38,8.5
0.5401100000000001,20.0,3.97,0,0.647,7.202999999999999,81.8,2.1121,5,264,13.0,9.59,33.8
0.3692,0.0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,9.28,23.8
0.061270000000000005,40.0,6.41,1,0.447,6.8260000000000005,27.6,4.8628,4,254,17.6,4.16,33.1
4.668830000000001,0.0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,19.01,12.7
5.66637,0.0,18.1,0,0.74,6.218999999999999,100.0,2.0048,24,666,20.2,16.59,18.4
0.12269000000000001,0.0,6.91,0,0.44799999999999995,6.069,40.0,5.7209,3,233,17.9,9.55,21.2
4.541919999999999,0.0,18.1,0,0.77,6.398,88.0,2.5182,24,666,20.2,7.79,25.0
0.1,34.0,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,4.86,33.1
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,17.1,18.9
0.66351,20.0,3.97,0,0.647,7.332999999999999,100.0,1.8946,5,264,13.0,7.79,36.0
0.0837,45.0,3.44,0,0.43700000000000006,7.185,38.9,4.5667,5,398,15.2,5.39,34.9
1.4250200000000002,0.0,19.58,0,0.871,6.51,100.0,1.7659,5,403,14.7,7.39,23.3
0.050230000000000004,35.0,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,12.43,17.1
0.01432,100.0,1.32,0,0.41100000000000003,6.816,40.5,8.3248,5,256,15.1,3.95,31.6
0.05644,40.0,6.41,1,0.447,6.757999999999999,32.9,4.0776,4,254,17.6,3.53,32.4
7.36711,0.0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,21.52,11.0
0.03113,0.0,4.39,0,0.442,6.013999999999999,48.5,8.0136,3,352,18.8,10.53,17.5
9.59571,0.0,18.1,0,0.693,6.404,100.0,1.639,24,666,20.2,20.31,12.1
0.015009999999999999,90.0,1.21,1,0.401,7.922999999999999,24.8,5.885,1,198,13.6,3.16,50.0
17.8667,0.0,18.1,0,0.6709999999999999,6.223,100.0,1.3861,24,666,20.2,21.78,10.2
10.6718,0.0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,23.98,11.8
0.32543,0.0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,15.39,18.0
0.24103000000000002,0.0,7.38,0,0.493,6.082999999999999,43.7,5.4159,5,287,19.6,12.79,22.2
0.02875,28.0,15.04,0,0.46399999999999997,6.211,28.9,3.6659,4,270,18.2,6.21,25.0
0.17134000000000002,0.0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,15.76,18.3
0.08447,0.0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,9.64,22.6
0.75026,0.0,8.14,0,0.5379999999999999,5.9239999999999995,94.1,4.3996,4,307,21.0,16.3,15.6
0.46296000000000004,0.0,6.2,0,0.504,7.412000000000001,76.9,3.6715,8,307,17.4,5.25,31.7
0.19539,0.0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,7.54,23.4
1.46336,0.0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,1.73,50.0
0.013009999999999999,35.0,1.52,0,0.442,7.2410000000000005,49.3,7.0379,1,284,15.5,5.49,32.7
0.0351,95.0,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,3.81,48.5
0.33983,22.0,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,9.16,24.3
0.9557700000000001,0.0,8.14,0,0.5379999999999999,6.047000000000001,88.8,4.4534,4,307,21.0,17.28,14.8
0.04819,80.0,3.64,0,0.392,6.108,32.0,9.2203,1,315,16.4,6.57,21.9
0.33147,0.0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,3.95,48.3
7.40389,0.0,18.1,0,0.597,5.617000000000001,97.9,1.4547,24,666,20.2,26.4,17.2
0.01439,60.0,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,4.38,29.1
8.64476,0.0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,15.17,13.8
0.15445,25.0,5.13,0,0.45299999999999996,6.145,29.2,7.8148,8,284,19.7,6.86,23.3
0.08265,0.0,13.92,0,0.43700000000000006,6.127000000000001,18.4,5.5027,4,289,16.0,8.58,23.9
